sac train | train | env_step=1299/2024 | update=390 critic=0.011 actor=-3.023 alpha_loss=-20.142 alpha=0.178 q=2.236 entropy=4.669 replay=1299 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1314/2024 | update=395 critic=0.009 actor=-3.293 alpha_loss=-20.341 alpha=0.178 q=2.436 entropy=4.773 replay=1314 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1329/2024 | update=400 critic=0.010 actor=-3.149 alpha_loss=-20.448 alpha=0.177 q=2.290 entropy=4.825 replay=1329 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1344/2024 | update=405 critic=0.004 actor=-3.276 alpha_loss=-20.526 alpha=0.177 q=2.445 entropy=4.860 replay=1344 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1359/2024 | update=410 critic=0.009 actor=-3.246 alpha_loss=-20.469 alpha=0.177 q=2.364 entropy=4.817 replay=1359 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1374/2024 | update=415 critic=0.003 actor=-3.264 alpha_loss=-20.327 alpha=0.177 q=2.444 entropy=4.725 replay=1374 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train rollout | env_step=1380/2024 | train_rollout_return=-0.003 train_rollout_success=0.000 train_rollout_len=230.000 train_rollout_eps=6
sac train | eval rollout | env_step=1380/2024 | eval_rollout_return=3.208e-04 eval_rollout_success=0.000 eval_rollout_len=230.000 eval_rollout_eps=1
sac train | train | env_step=1389/2024 | update=420 critic=0.005 actor=-3.279 alpha_loss=-20.419 alpha=0.176 q=2.428 entropy=4.768 replay=1389 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1404/2024 | update=425 critic=0.009 actor=-3.200 alpha_loss=-20.626 alpha=0.176 q=2.379 entropy=4.877 replay=1404 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1419/2024 | replay=1419
sac train | train | env_step=1419/2024 | update=430 critic=0.011 actor=-3.379 alpha_loss=-20.504 alpha=0.176 q=2.566 entropy=4.796 replay=1419 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1434/2024 | update=435 critic=0.005 actor=-3.310 alpha_loss=-20.602 alpha=0.176 q=2.431 entropy=4.842 replay=1434 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1449/2024 | update=440 critic=0.003 actor=-3.327 alpha_loss=-20.727 alpha=0.175 q=2.511 entropy=4.904 replay=1449 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1464/2024 | update=445 critic=0.003 actor=-3.372 alpha_loss=-20.317 alpha=0.175 q=2.562 entropy=4.658 replay=1464 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1479/2024 | update=450 critic=0.007 actor=-3.392 alpha_loss=-20.651 alpha=0.175 q=2.498 entropy=4.840 replay=1479 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1494/2024 | update=455 critic=0.006 actor=-3.392 alpha_loss=-20.567 alpha=0.174 q=2.565 entropy=4.781 replay=1494 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1509/2024 | update=460 critic=0.005 actor=-3.412 alpha_loss=-20.467 alpha=0.174 q=2.587 entropy=4.714 replay=1509 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
